DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M
2025-12-24,RODIUM,INE513E01024,BSE,173.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,36.597,36.597,36.597
2025-12-24,CAPPIPES,INE513R01026,BSE,11.51,0.0,0.0,1220.892,0.0,0.0,0.0,0.0,0.0,0.0,472.65633333333335,472.65633333333335,472.65633333333335
2025-12-24,MINOLTAF,INE514C01026,BSE,1.49,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,13.045333333333332,13.045333333333332,13.045333333333332
2025-12-26,MOKSH,INE514Y01020,NSE,15.06,84.98,1266365.28,1488.97789,68.57199999999999,68.02714285714285,68.02714285714285,3071775.856,3012716.07,3012716.07,4667.135498000001,4834.326014285713,4834.326014285713
2025-12-24,COCKERILL,INE515A01019,BSE,4755.4,0.0,0.0,21225.872,0.0,0.0,0.0,0.0,0.0,0.0,14602.712666666666,14602.712666666666,14602.712666666666
2025-12-24,VISIONCINE,INE515B01025,BSE,1.1,0.0,0.0,25.25,0.0,0.0,0.0,0.0,0.0,0.0,18.539666666666665,18.539666666666665,18.539666666666665
2025-12-24,LAHOTIOV,INE515C01023,BSE,52.21,0.0,0.0,739.387,0.0,0.0,0.0,0.0,0.0,0.0,728.544,728.544,728.544
2025-12-24,EMPIND,INE515H01014,BSE,941.7,0.0,0.0,302.954,0.0,0.0,0.0,0.0,0.0,0.0,1087.547,1087.547,1087.547
2025-12-23,12AFPL30,INE515Q08267,BSE,100950.0,0.0,0.0,201.9,0.0,0.0,0.0,0.0,0.0,0.0,201.9,201.9,201.9
2025-12-26,UFLEX,INE516A01017,NSE,484.6,68.77,2855747.8000000003,4158.7295,60.263999999999996,62.72857142857142,62.72857142857142,2899709.9699999997,3239791.1428571427,3239791.1428571427,4834.864390000001,5119.583428571429,5119.583428571429
2025-12-24,KIRANPR,INE516D01011,BSE,21.81,0.0,0.0,1.199,0.0,0.0,0.0,0.0,0.0,0.0,126.23333333333333,126.23333333333333,126.23333333333333
2025-12-24,PANABYTE,INE516E01019,BSE,35.4,0.0,0.0,261.43,0.0,0.0,0.0,0.0,0.0,0.0,218.23799999999997,218.23799999999997,218.23799999999997
2025-12-24,ABHICAP,INE516F01016,BSE,130.0,0.0,0.0,4420.136,0.0,0.0,0.0,0.0,0.0,0.0,1480.1143333333332,1480.1143333333332,1480.1143333333332
2025-12-24,RLFL,INE516P01015,BSE,9.74,0.0,0.0,2919.194,0.0,0.0,0.0,0.0,0.0,0.0,497.565,497.565,497.565
2025-12-26,TTML,INE517B01013,NSE,50.14,35.48,34156420.94,96511.47962,30.567999999999994,24.741428571428568,24.741428571428568,71928218.98200001,106385658.01,106385658.01,320373.26705400005,1302248.7040571426,1302248.7040571426
2025-12-24,KONARKSY,INE517D01019,BSE,38.03,0.0,0.0,0.695,0.0,0.0,0.0,0.0,0.0,0.0,44.533666666666655,44.533666666666655,44.533666666666655
2025-12-26,GPPL,INE517F01014,NSE,183.02,57.15,216308958.74,383053.80454000004,44.529999999999994,44.42285714285714,44.42285714285714,123054148.58600001,126403285.0957143,126403285.0957143,286417.693824,294234.9679671429,294234.9679671429
2025-12-24,FORBESCO,INE518A01013,BSE,307.95,0.0,0.0,771.254,0.0,0.0,0.0,0.0,0.0,0.0,525.2513333333333,525.2513333333333,525.2513333333333
2025-12-26,ZIMLAB,INE518E01015,NSE,68.59,68.06,2870354.3200000003,4240.80346,66.226,62.83714285714286,62.83714285714286,908943.2720000001,1071787.4971428572,1071787.4971428572,1404.286046,1799.3202442857141,1799.3202442857141
2025-12-26,FOSECOIND,INE519A01011,NSE,4987.5,54.04,4069800.0,7550.0265,43.083999999999996,44.96857142857142,44.96857142857142,1922495.8,1968027.2857142857,1968027.2857142857,4301.9945,4250.877071428571,4250.877071428571
2025-12-26,SUMMITSEC,INE519C01017,NSE,1971.6,69.84,3643516.8,5236.076599999999,54.55800000000001,57.094285714285725,57.094285714285725,3588488.4200000004,3300203.214285714,3300203.214285714,6667.359880000001,5918.504242857142,5918.504242857142
2025-12-24,LADDERUP,INE519D01015,BSE,59.06,0.0,0.0,171.864,0.0,0.0,0.0,0.0,0.0,0.0,16.573333333333334,16.573333333333334,16.573333333333334
2025-12-24,MIDWEST,INE519N01014,BSE,4622.7,0.0,0.0,50293.165,0.0,0.0,0.0,0.0,0.0,0.0,13716.298,13716.298,13716.298
2025-12-26,ZENSARTECH,INE520A01027,NSE,723.25,57.84,54097653.5,94226.633,50.602000000000004,53.21142857142858,53.21142857142858,95991026.23,92892170.82142858,92892170.82142858,198614.53397999998,182250.79822142856,182250.79822142856
2025-12-26,BEARDSELL,INE520H01022,NSE,31.26,73.94,688689.06,917.9422900000001,57.45399999999999,53.50285714285714,53.50285714285714,465514.53199999995,425757.75428571424,425757.75428571424,871.99378,865.9230657142858,865.9230657142858
2025-12-26,ICEMAKE,INE520Y01019,NSE,826.9,49.58,14455865.799999999,29015.23215,49.082,52.77571428571429,52.77571428571429,15276555.680000002,12381204.0,12381204.0,31627.44015,24944.28863571428,24944.28863571428
2025-12-26,CPCAP,INE521J01018,NSE,115.36,77.31,236603.36,308.58441999999997,77.724,77.47571428571429,77.47571428571429,1392756.7359999998,1724138.4,1724138.4,1733.8115100000002,2207.7351214285713,2207.7351214285713
2025-12-24,BANASFN,INE521L01030,BSE,8.32,0.0,0.0,197.364,0.0,0.0,0.0,0.0,0.0,0.0,215.44433333333333,215.44433333333333,215.44433333333333
2025-12-26,MANAPPURAM,INE522D01027,NSE,313.35,34.56,652430108.5500001,1895279.966,39.53,42.355714285714285,42.355714285714285,641995998.79,551802316.1,551802316.1,2136927.94875,1704462.1922214287,1704462.1922214287
2025-12-19,MFLZC26,INE522D07BA4,BSE,1929.9,0.0,0.0,36.668,0.0,0.0,0.0,0.0,0.0,0.0,450.543,450.543,450.543
2025-12-26,COALINDIA,INE522F01014,NSE,402.15,47.17,1031155227.9,2198713.95185,53.842,54.054285714285705,54.054285714285705,1637687738.97,1429093434.857143,1429093434.857143,3607189.06751,3054883.546585714,3054883.546585714
2025-12-26,AKSHOPTFBR,INE523B01011,NSE,6.53,74.0,790587.1,1086.26396,76.756,76.91714285714285,76.91714285714285,652939.926,583675.9757142857,583675.9757142857,846.864868,757.5623885714285,757.5623885714285
2025-12-19,JMFPZC26,INE523H07AQ1,BSE,1849.8,0.0,0.0,184.59,0.0,0.0,0.0,0.0,0.0,0.0,184.59,184.59,184.59
2025-12-23,820JMFPL26,INE523H07BO4,BSE,1002.0,0.0,0.0,25.05,0.0,0.0,0.0,0.0,0.0,0.0,25.05,25.05,25.05
2025-12-24,791JMFPL26,INE523H07BP1,BSE,1000.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,500.0
2025-12-24,PWASML,INE523I01016,BSE,26.0,0.0,0.0,56.53,0.0,0.0,0.0,0.0,0.0,0.0,41.27533333333333,41.27533333333333,41.27533333333333
2025-12-24,RAUNAQ,INE523K01012,BSE,59.16,0.0,0.0,53.866,0.0,0.0,0.0,0.0,0.0,0.0,3.2276666666666665,3.2276666666666665,3.2276666666666665
2025-12-26,GABRIEL,INE524A01029,NSE,1029.1,33.05,88685779.8,270865.8621,28.65,30.997142857142855,30.997142857142855,280442015.08000004,218423501.74285716,218423501.74285716,1426942.0320000001,1068847.5867428572,1068847.5867428572
2025-12-26,GANDHITUBE,INE524B01027,NSE,763.3,58.28,913670.1,1566.88005,55.879999999999995,60.529999999999994,60.529999999999994,1342016.85,1362775.4642857143,1362775.4642857143,2611.22119,2423.637892857143,2423.637892857143
2025-12-26,KRIDHANINF,INE524L01026,NSE,4.24,63.09,416779.28,674.1249,66.926,63.47714285714285,63.47714285714285,414609.776,440744.6342857143,440744.6342857143,655.025696,750.2581557142857,750.2581557142857
2025-12-24,JUPITERIN,INE524N01014,BSE,32.69,0.0,0.0,785.914,0.0,0.0,0.0,0.0,0.0,0.0,301.9926666666667,301.9926666666667,301.9926666666667
2025-12-24,TAALENT,INE524T01011,BSE,2754.85,0.0,0.0,2590.822,0.0,0.0,0.0,0.0,0.0,0.0,2047.8306666666667,2047.8306666666667,2047.8306666666667
2025-12-24,HATHWAYB,INE525B01016,BSE,13.46,0.0,0.0,11.378,0.0,0.0,0.0,0.0,0.0,0.0,5.784666666666666,5.784666666666666,5.784666666666666
2025-12-24,BLIL,INE525F01025,BSE,72.99,0.0,0.0,4719.551,0.0,0.0,0.0,0.0,0.0,0.0,3238.536,3238.536,3238.536
2025-12-26,CALSOFT,INE526B01014,NSE,15.0,80.97,794610.0,972.58914,65.482,65.82285714285715,65.82285714285715,252891.53200000004,230357.18000000002,230357.18000000002,359.81454199999996,340.61843285714286,340.61843285714286
2025-12-19,NIKKIGL,INE526C01012,BSE,14.53,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.266,0.266
2025-12-26,SHRIPISTON,INE526E01018,NSE,3191.6,43.56,108619722.8,250998.513,36.64,36.339999999999996,36.339999999999996,85269687.84,94866029.68571429,94866029.68571429,232568.79574000003,264208.4587857143,264208.4587857143
2025-12-26,VIVIMEDLAB,INE526G01021,NSE,20.59,100.0,198878.81,198.87881,100.0,100.0,100.0,198878.81,198878.81,198878.81,198.87881,198.87881,198.87881
2025-12-24,VINYOFL,INE526H01011,BSE,54.1,0.0,0.0,72.62,0.0,0.0,0.0,0.0,0.0,0.0,116.73666666666666,116.73666666666666,116.73666666666666
2025-12-24,STARHFL,INE526R01028,BSE,15.08,0.0,0.0,2725.842,0.0,0.0,0.0,0.0,0.0,0.0,4252.5233333333335,4252.5233333333335,4252.5233333333335
2025-12-24,QUADRANT,INE527B01020,BSE,0.36,0.0,0.0,163.218,0.0,0.0,0.0,0.0,0.0,0.0,256.747,256.747,256.747
2025-12-26,UFO,INE527H01019,NSE,84.38,55.08,3323221.92,6031.86089,49.239999999999995,47.978571428571435,47.978571428571435,6658060.466,7475265.801428571,7475265.801428571,13823.341320000001,17559.633464285715,17559.633464285715
2025-12-26,GKWLIMITED,INE528A01020,NSE,1726.0,95.2,1575838.0,1658.0848,81.90799999999999,78.36571428571428,78.36571428571428,620799.9400000001,585795.0285714286,585795.0285714286,705.56474,695.2419142857143,695.2419142857143
2025-12-24,UVS,INE528C01018,BSE,127.65,0.0,0.0,133.664,0.0,0.0,0.0,0.0,0.0,0.0,170.705,170.705,170.705
2025-12-24,SIKOZY,INE528E01022,BSE,0.95,0.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,0.0,0.7393333333333333,0.7393333333333333,0.7393333333333333
2025-12-26,YESBANK,INE528G01035,NSE,21.52,45.98,369663092.56,806974.58118,52.517999999999994,51.85428571428571,51.85428571428571,606080313.292,603435176.3628572,603435176.3628572,1090672.4803,1118707.9911057143,1118707.9911057143
2025-12-26,FMGOETZE,INE529A01010,NSE,449.3,58.65,6721977.3,11513.94705,55.76400000000001,56.35000000000001,56.35000000000001,11026383.28,11232546.628571426,11232546.628571426,19714.01906,19908.30754285714,19908.30754285714
2025-12-26,PATINTLOG,INE529D01014,NSE,13.76,85.28,616461.76,727.0061,78.2,74.10000000000001,74.10000000000001,588627.6640000001,590141.032857143,590141.032857143,743.445736,809.4616900000001,809.4616900000001
2025-12-26,SIGIND,INE529F01035,NSE,54.45,70.64,169666.2,237.83856,65.136,60.33428571428572,60.33428571428572,188174.704,236239.94,236239.94,281.550664,461.4918957142857,461.4918957142857
2025-12-26,KUANTUM,INE529I01021,NSE,92.33,72.01,1775690.56,2481.2050099999997,62.44199999999999,62.87428571428571,62.87428571428571,3451144.45,2829514.9957142854,2829514.9957142854,6626.6333939999995,5307.393468571428,5307.393468571428
2025-12-26,IIFL,INE530B01024,NSE,599.25,34.43,331448171.25,964743.048,32.344,32.42,32.42,275514410.31,220150154.72142857,220150154.72142857,961316.43998,756678.3509571429,756678.3509571429
2025-12-23,IIFLZC26,INE530B07187,BSE,1420.0,0.0,0.0,103.66,0.0,0.0,0.0,0.0,0.0,0.0,103.66,103.66,103.66
2025-12-24,9IIFL28A,INE530B07260,BSE,1075.8,0.0,0.0,22.591,0.0,0.0,0.0,0.0,0.0,0.0,22.591,22.591,22.591
2025-12-19,IIFLZC28A,INE530B07278,BSE,1250.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,62.5
2025-12-24,IIFLZC26B,INE530B07351,BSE,1214.8,0.0,0.0,38.873,0.0,0.0,0.0,0.0,0.0,0.0,38.873,38.873,38.873
2025-12-17,IIFLZC28B,INE530B07369,BSE,1175.0,0.0,0.0,237.375,0.0,0.0,0.0,0.0,0.0,0.0,237.375,237.375,237.375
2025-12-24,IIFLZC28,INE530B08110,BSE,1511.01,0.0,0.0,75.55,0.0,0.0,0.0,0.0,0.0,0.0,75.55,75.55,75.55
2025-12-24,PRATIKSH,INE530D01012,BSE,19.9,0.0,0.0,251.61,0.0,0.0,0.0,0.0,0.0,0.0,232.13266666666664,232.13266666666664,232.13266666666664
2025-12-24,NIDO27,INE530L07491,BSE,1334.2,0.0,0.0,110.409,0.0,0.0,0.0,0.0,0.0,0.0,110.409,110.409,110.409
2025-12-24,NIDO010326,INE530L07657,BSE,1168.0,0.0,0.0,29.2,0.0,0.0,0.0,0.0,0.0,0.0,29.2,29.2,29.2
2025-12-24,95NIDO26,INE530L07707,BSE,1071.0,0.0,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,41.2335,41.2335,41.2335
2025-12-24,0NHFL27,INE530L07814,BSE,1107.2,0.0,0.0,113.219,0.0,0.0,0.0,0.0,0.0,0.0,11.042,11.042,11.042
2025-12-19,0NHFL26,INE530L07822,BSE,1115.25,0.0,0.0,28.996,0.0,0.0,0.0,0.0,0.0,0.0,28.996,28.996,28.996
2025-12-23,95NHFL27A,INE530L07AF1,BSE,1025.2,0.0,0.0,10.252,0.0,0.0,0.0,0.0,0.0,0.0,10.252,10.252,10.252
2025-12-17,NHFL030425,INE530L07AH7,BSE,1036.1,0.0,0.0,51.805,0.0,0.0,0.0,0.0,0.0,0.0,51.805,51.805,51.805
2025-12-23,10NHFL28A,INE530L07AK1,BSE,1047.11,0.0,0.0,370.661,0.0,0.0,0.0,0.0,0.0,0.0,370.661,370.661,370.661
2025-12-19,NHFL20725,INE530L07AR6,BSE,1070.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,2.15,2.15,2.15
2025-12-24,10NHFL28B,INE530L07AW6,BSE,1000.21,0.0,0.0,166.035,0.0,0.0,0.0,0.0,0.0,0.0,166.035,166.035,166.035
